"cluster","Gender_Loan_Preference_equal","Gender_Loan_Preference_more.to.men","Gender_Loan_Preference_more.to.women","Loan_Sector_Agriculture","Loan_Sector_Arts","Loan_Sector_Clothing","Loan_Sector_Construction","Loan_Sector_Education","Loan_Sector_Entertainment","Loan_Sector_Food","Loan_Sector_Health","Loan_Sector_Housing","Loan_Sector_Manufacturing","Loan_Sector_Personal.Use","Loan_Sector_Retail","Loan_Sector_Services","Loan_Sector_Transportation","Loan_Sector_Wholesale","Lender_Cause_to_Lend_Business","Lender_Cause_to_Lend_Community","Lender_Cause_to_Lend_Feeling.Good.to.Donate","Lender_Cause_to_Lend_Loving.Kiva","Lender_Cause_to_Lend_Religion","Borrower_Continent_Africa","Borrower_Continent_East.Asia","Borrower_Continent_Europe","Borrower_Continent_Middle.East","Borrower_Continent_North.and.Central.America","Borrower_Continent_Oceania","Borrower_Continent_South.America","Average_Age_Range_1.to.10","Average_Age_Range_11.to.20","Average_Age_Range_21.to.30","Average_Age_Range_31.to.40","Average_Age_Range_41.to.50","Average_Age_Range_51.to.60","Average_Age_Range_61.to.70","Average_Age_Range_71.","Average_Loan_Amount_Range_1.500","Average_Loan_Amount_Range_10000.","Average_Loan_Amount_Range_1001.1500","Average_Loan_Amount_Range_1501.2000","Average_Loan_Amount_Range_2001.2500","Average_Loan_Amount_Range_2501.3000","Average_Loan_Amount_Range_3001.3500","Average_Loan_Amount_Range_3501.4000","Average_Loan_Amount_Range_4001.4500","Average_Loan_Amount_Range_4501.5000","Average_Loan_Amount_Range_5001.9999","Average_Loan_Amount_Range_501.1000","Lender_Occupation_Category_Agriculture","Lender_Occupation_Category_Aircraft","Lender_Occupation_Category_Army","Lender_Occupation_Category_Arts.Creative","Lender_Occupation_Category_Business.Management","Lender_Occupation_Category_Construction","Lender_Occupation_Category_Education","Lender_Occupation_Category_Engineer.Technician","Lender_Occupation_Category_Finance","Lender_Occupation_Category_Food.Industry","Lender_Occupation_Category_Government.Public.Service","Lender_Occupation_Category_Hairstyle","Lender_Occupation_Category_Healthcare","Lender_Occupation_Category_High.Tech","Lender_Occupation_Category_Legal","Lender_Occupation_Category_Other","Lender_Occupation_Category_Real.Estate","Lender_Occupation_Category_Religion","Lender_Occupation_Category_Research.Science","Lender_Occupation_Category_Retired","Lender_Occupation_Category_Sales.Marketing","Lender_Occupation_Category_Self.Employed","Lender_Occupation_Category_Social.Work","Lender_Occupation_Category_Sports","Lender_Occupation_Category_Student","Lender_Occupation_Category_Travel","Lender_Occupation_Category_Unemployed","Lender_Type"
1,0.0205047318611987,0,0.979495268138801,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0410094637223975,0.0804416403785489,0.0757097791798107,0.0630914826498423,0.739747634069401,0.94006309148265,0,0.0378548895899054,0.0110410094637224,0,0.0110410094637224,0,0.0583596214511041,0.11198738170347,0.241324921135647,0.454258675078864,0.105678233438486,0.0236593059936909,0.00473186119873817,0,0.0583596214511041,0.00473186119873817,0.157728706624606,0.108832807570978,0.10410094637224,0.140378548895899,0.126182965299685,0.0678233438485804,0.0362776025236593,0.0205047318611987,0.026813880126183,0.148264984227129,0.00157728706624606,0.00157728706624606,0,0.0741324921135647,0.113564668769716,0.0141955835962145,0.082018927444795,0.0441640378548896,0.0536277602523659,0.00788643533123028,0.0126182965299685,0,0.055205047318612,0.143533123028391,0.0205047318611987,0.135646687697161,0.0157728706624606,0.00473186119873817,0.028391167192429,0.0441640378548896,0.0347003154574132,0.0189274447949527,0.0157728706624606,0,0.0646687697160883,0.00630914826498423,0.00630914826498423,"more.to.women, Agriculture, Religion, Africa, 31.to.40, Arts.Creative, Business.Management, Education, High.Tech, Other, Student"
2,0.0225035161744023,0,0.977496483825598,0.137834036568214,0.0843881856540084,0.0886075949367089,0.00562587904360056,0.0225035161744023,0.00843881856540084,0.306610407876231,0.0126582278481013,0.0126582278481013,0.00421940928270042,0.00562587904360056,0.236286919831224,0.0689170182841069,0.00421940928270042,0.00140646976090014,0.0675105485232067,0.106891701828411,0.0632911392405063,0.080168776371308,0.680731364275668,0,0,0.00140646976090014,0.00562587904360056,0.990154711673699,0.00281293952180028,0,0.136427566807314,0.241912798874824,0.465541490857947,0,0.118143459915612,0.0323488045007032,0.00281293952180028,0.00281293952180028,0.0464135021097046,0.0421940928270042,0.0787623066104079,0.0745428973277075,0.0829817158931083,0.113924050632911,0.113924050632911,0.10126582278481,0.0464135021097046,0.0478199718706048,0.10267229254571,0.149085794655415,0.0070323488045007,0.00562587904360056,0,0.0689170182841069,0.147679324894515,0.00843881856540084,0.0731364275668073,0.0239099859353024,0.0421940928270042,0.0070323488045007,0.0225035161744023,0,0.0436005625879044,0.126582278481013,0.019690576652602,0.135021097046413,0.0070323488045007,0.00421940928270042,0.0365682137834037,0.0562587904360056,0.0365682137834037,0.0182841068917018,0.00562587904360056,0.00140646976090014,0.0956399437412096,0,0.0070323488045007,"more.to.women, Food, Retail, Religion, North.and.Central.America, 21.to.30, Arts.Creative, Business.Management, Education, High.Tech, Other, Retired, Student"
3,0.0126382306477093,0.00315955766192733,0.984202211690363,0,0.0157977883096366,0.0568720379146919,0.00789889415481832,0.0126382306477093,0,0.5260663507109,0.0110584518167457,0.00631911532385466,0.00789889415481832,0.00789889415481832,0.320695102685624,0.0252764612954186,0,0.00157977883096367,0.0410742496050553,0.107424960505529,0.0995260663507109,0.0726698262243286,0.672985781990521,0.990521327014218,0,0.00157977883096367,0.00789889415481832,0,0,0,0,0,1,0,0,0,0,0,0.023696682464455,0,0.0442338072669826,0.0410742496050553,0.0600315955766193,0.135860979462875,0.222748815165877,0.20695102685624,0.11216429699842,0.042654028436019,0.0537124802527646,0.0568720379146919,0,0.00315955766192733,0,0.0726698262243286,0.132701421800948,0.0126382306477093,0.0710900473933649,0.042654028436019,0.0300157977883096,0.00157977883096367,0.023696682464455,0,0.0394944707740916,0.153238546603476,0.0173775671406003,0.123222748815166,0.0126382306477093,0,0.0315955766192733,0.0853080568720379,0.0347551342812006,0.00631911532385466,0.014218009478673,0.00157977883096367,0.0789889415481833,0.00315955766192733,0.00789889415481832,"more.to.women, Food, Retail, Religion, Africa, 21.to.30, Range_3001.3500, Range_3501.4000, Arts.Creative, Business.Management, Education, High.Tech, Other, Retired, Student"
4,0.0213675213675214,0,0.978632478632479,0.982905982905983,0,0,0,0.00854700854700855,0,0,0,0,0,0,0,0.00854700854700855,0,0,0.188034188034188,0.269230769230769,0.247863247863248,0.252136752136752,0.0384615384615385,0.217948717948718,0.111111111111111,0.0384615384615385,0.047008547008547,0.162393162393162,0,0.423076923076923,0.00854700854700855,0,0.824786324786325,0.00427350427350427,0.11965811965812,0.0427350427350427,0,0,0.047008547008547,0.0128205128205128,0.111111111111111,0.145299145299145,0.0982905982905983,0.111111111111111,0.153846153846154,0.0769230769230769,0.0512820512820513,0.0256410256410256,0.0128205128205128,0.153846153846154,0.00427350427350427,0,0.00427350427350427,0.0512820512820513,0.158119658119658,0.0170940170940171,0.106837606837607,0.0555555555555556,0.0170940170940171,0.00427350427350427,0,0,0.0256410256410256,0.115384615384615,0.0213675213675214,0.141025641025641,0.00427350427350427,0.00427350427350427,0.0213675213675214,0.106837606837607,0.0427350427350427,0.0170940170940171,0.00854700854700855,0.00427350427350427,0.0641025641025641,0,0.00427350427350427,"more.to.women, Agriculture, 21.to.30, Business.Management, Education, High.Tech, Other, Retired, Student"
5,0.0341207349081365,0.010498687664042,0.955380577427822,0,0.010498687664042,0.133858267716535,0.010498687664042,0.020997375328084,0,0.601049868766404,0.015748031496063,0.010498687664042,0.010498687664042,0.026246719160105,0.125984251968504,0.031496062992126,0,0.0026246719160105,0.073490813648294,0.112860892388451,0.0813648293963255,0.083989501312336,0.648293963254593,0.950131233595801,0,0.0131233595800525,0.0288713910761155,0,0.0078740157480315,0,0.083989501312336,0.225721784776903,0,0,0.572178477690289,0.0971128608923885,0.0183727034120735,0.0026246719160105,0.047244094488189,0.010498687664042,0.102362204724409,0.0813648293963255,0.0813648293963255,0.0997375328083989,0.112860892388451,0.094488188976378,0.0813648293963255,0.0656167979002625,0.083989501312336,0.139107611548556,0.005249343832021,0,0.005249343832021,0.083989501312336,0.16010498687664,0.015748031496063,0.0761154855643045,0.0393700787401575,0.0341207349081365,0.005249343832021,0.0078740157480315,0,0.0498687664041995,0.123359580052493,0.0131233595800525,0.0997375328083989,0.0078740157480315,0.0026246719160105,0.0183727034120735,0.041994750656168,0.0236220472440945,0.0288713910761155,0.0183727034120735,0,0.118110236220472,0.005249343832021,0.015748031496063,"more.to.women, Food, Religion, Africa, 41.to.50, Arts.Creative, Business.Management, Education, High.Tech, Other, Student"
6,0.0207756232686981,0,0.979224376731302,0.264542936288089,0.0512465373961219,0.0470914127423823,0.00692520775623269,0.0110803324099723,0.00138504155124654,0.282548476454294,0.00138504155124654,0.00692520775623269,0.00969529085872576,0.00138504155124654,0.256232686980609,0.0554016620498615,0.00277008310249307,0.00138504155124654,0.0484764542936288,0.101108033240997,0.0858725761772853,0.0831024930747922,0.681440443213296,0,0,0,0,0,0,1,0.0595567867036011,0,0,0.703601108033241,0.166204986149584,0.0526315789473684,0.018005540166205,0,0.0623268698060942,0.00277008310249307,0.126038781163435,0.0955678670360111,0.0844875346260388,0.113573407202216,0.101108033240997,0.0858725761772853,0.0373961218836565,0.0138504155124654,0.0249307479224377,0.25207756232687,0.00415512465373961,0.00277008310249307,0.00415512465373961,0.0734072022160665,0.113573407202216,0.0110803324099723,0.074792243767313,0.0277008310249307,0.0373961218836565,0.00138504155124654,0.0152354570637119,0,0.0484764542936288,0.127423822714681,0.0249307479224377,0.132963988919668,0.00969529085872576,0.00692520775623269,0.0166204986149584,0.0900277008310249,0.0277008310249307,0.0110803324099723,0.0124653739612188,0,0.110803324099723,0.00415512465373961,0.0110803324099723,"more.to.women, Agriculture, Food, Retail, Religion, South.America, 31.to.40, Range_501.1000, Arts.Creative, Business.Management, Education, High.Tech, Other, Retired, Student"
7,0.00985221674876847,0,0.990147783251232,0.11576354679803,0.0591133004926108,0.0689655172413793,0.00492610837438424,0.0246305418719212,0,0.194581280788177,0.00492610837438424,0.00492610837438424,0.00492610837438424,0.00492610837438424,0.349753694581281,0.157635467980296,0.00492610837438424,0,0.0492610837438424,0.11576354679803,0.113300492610837,0.0492610837438424,0.669950738916256,0,0,0.00738916256157635,0.0221674876847291,0,0,0.970443349753695,0,1,0,0,0,0,0,0,0.00246305418719212,0.00738916256157635,0.0492610837438424,0.0665024630541872,0.142857142857143,0.206896551724138,0.214285714285714,0.120689655172414,0.0862068965517241,0.0443349753694581,0.0246305418719212,0.0344827586206897,0,0.00246305418719212,0,0.061576354679803,0.0960591133004926,0.00492610837438424,0.0738916256157636,0.0467980295566502,0.0640394088669951,0,0.0147783251231527,0,0.0517241379310345,0.142857142857143,0.0320197044334975,0.125615763546798,0.00738916256157635,0.00738916256157635,0.0221674876847291,0.041871921182266,0.0270935960591133,0.0197044334975369,0.0123152709359606,0,0.130541871921182,0.00246305418719212,0.0123152709359606,"more.to.women, Retail, Religion, South.America, 11.to.20, Range_2501.3000, Range_3001.3500, Arts.Creative, Business.Management, Education, Finance, High.Tech, Other, Student"
8,0.0149082568807339,0.00229357798165138,0.982798165137615,0.0997706422018349,0.0527522935779817,0.0470183486238532,0.00458715596330275,0.0194954128440367,0,0.269495412844037,0.0103211009174312,0.00458715596330275,0.00458715596330275,0.00344036697247706,0.372706422018349,0.10894495412844,0.00229357798165138,0,0.0435779816513761,0.112385321100917,0.0848623853211009,0.0779816513761468,0.681192660550459,0,0,0.00458715596330275,0.0194954128440367,0,0,0.975917431192661,0,0,1,0,0,0,0,0,0.018348623853211,0.00114678899082569,0.0538990825688073,0.0894495412844037,0.125,0.200688073394495,0.213302752293578,0.135321100917431,0.0561926605504587,0.018348623853211,0.0149082568807339,0.073394495412844,0.00229357798165138,0.00458715596330275,0.00229357798165138,0.0607798165137615,0.121559633027523,0.00917431192660551,0.0596330275229358,0.0504587155963303,0.0401376146788991,0.00229357798165138,0.0114678899082569,0,0.0412844036697248,0.174311926605505,0.0240825688073395,0.115825688073394,0.0137614678899083,0.00344036697247706,0.0275229357798165,0.0756880733944954,0.0355504587155963,0.0206422018348624,0.00688073394495413,0.00229357798165138,0.0814220183486239,0.00688073394495413,0.00573394495412844,"more.to.women, Food, Retail, Religion, South.America, 21.to.30, Range_3001.3500, Arts.Creative, Business.Management, Education, High.Tech, Other, Retired, Student"
9,0.133779264214047,0.866220735785953,0,0.531772575250836,0.020066889632107,0.0234113712374582,0.0234113712374582,0.040133779264214,0.0100334448160535,0.096989966555184,0.020066889632107,0.0301003344481605,0.00668896321070234,0.0301003344481605,0.0568561872909699,0.0702341137123746,0.0301003344481605,0.0100334448160535,0,0,0,0,1,0.204013377926421,0.0735785953177258,0.0334448160535117,0.0501672240802676,0.344481605351171,0,0.294314381270903,0.127090301003344,0.157190635451505,0.120401337792642,0.331103678929766,0.183946488294314,0.0568561872909699,0.0100334448160535,0.0133779264214047,0.0668896321070234,0.0568561872909699,0,0.123745819397993,0.0434782608695652,0.040133779264214,0.0167224080267559,0.00334448160535117,0.00334448160535117,0.0100334448160535,0.0501672240802676,0.585284280936455,0,0.00334448160535117,0.00334448160535117,0.0936454849498328,0.127090301003344,0.0133779264214047,0.0735785953177258,0.020066889632107,0.0434782608695652,0.00334448160535117,0.0167224080267559,0.00334448160535117,0.0568561872909699,0.127090301003344,0.0167224080267559,0.123745819397993,0.0167224080267559,0,0.0100334448160535,0.0535117056856187,0.0133779264214047,0.020066889632107,0.020066889632107,0,0.130434782608696,0,0.0100334448160535,"more.to.men, Agriculture, Religion, Range_501.1000, Arts.Creative, Business.Management, Education, Healthcare, High.Tech, Other, Student"
10,0.0574412532637076,0,0.942558746736292,0.237597911227154,0.0861618798955614,0.0913838120104439,0.00783289817232376,0.0522193211488251,0,0.227154046997389,0.010443864229765,0.0287206266318538,0.00522193211488251,0.0182767624020888,0.182767624020888,0.0496083550913838,0.00261096605744125,0,0.0600522193211488,0.148825065274151,0.117493472584856,0.0913838120104439,0.5822454308094,0,0,0.0234986945169713,0.107049608355091,0.866840731070496,0.00261096605744125,0,0,0,0,1,0,0,0,0,0.0287206266318538,0.0156657963446475,0.18798955613577,0.112271540469974,0.0809399477806789,0.0809399477806789,0.0861618798955614,0.0548302872062663,0.0469973890339426,0.0182767624020888,0.0339425587467363,0.253263707571802,0.00261096605744125,0.00261096605744125,0,0.0652741514360313,0.127937336814621,0.0130548302872063,0.0731070496083551,0.0469973890339426,0.0443864229765013,0.0182767624020888,0.00522193211488251,0,0.0391644908616188,0.112271540469974,0.0365535248041775,0.109660574412533,0.010443864229765,0.00783289817232376,0.0287206266318538,0.0731070496083551,0.0443864229765013,0.010443864229765,0.00783289817232376,0.00522193211488251,0.10443864229765,0.00261096605744125,0.00783289817232376,"more.to.women, Agriculture, Food, Religion, North.and.Central.America, 31.to.40, Range_501.1000, Arts.Creative, Business.Management, Education, High.Tech, Other, Retired, Student"
11,0.00261096605744125,0.010443864229765,0.986945169712794,0,0.010443864229765,0.117493472584856,0.0156657963446475,0.00522193211488251,0,0,0.0234986945169713,0.00261096605744125,0.010443864229765,0.0182767624020888,0.738903394255875,0.0417754569190601,0.0130548302872063,0.00261096605744125,0.0704960835509138,0.107049608355091,0.0809399477806789,0.112271540469974,0.626631853785901,0.989556135770235,0,0.00522193211488251,0,0,0.00522193211488251,0,0.0469973890339426,0.10443864229765,0,0.83289817232376,0,0.00783289817232376,0.00522193211488251,0.00261096605744125,0.0391644908616188,0.00783289817232376,0.0600522193211488,0.0522193211488251,0.0652741514360313,0.109660574412533,0.151436031331593,0.177545691906005,0.101827676240209,0.0496083550913838,0.0835509138381201,0.101827676240209,0.00261096605744125,0.00261096605744125,0,0.0704960835509138,0.151436031331593,0.00522193211488251,0.0809399477806789,0.0574412532637076,0.0234986945169713,0.00783289817232376,0.0182767624020888,0,0.0391644908616188,0.154046997389034,0.02088772845953,0.120104438642298,0.00783289817232376,0.00522193211488251,0.0156657963446475,0.0469973890339426,0.0417754569190601,0.00783289817232376,0.010443864229765,0,0.0939947780678851,0.00261096605744125,0.0130548302872063,"more.to.women, Retail, Religion, Africa, 31.to.40, Arts.Creative, Business.Management, Education, Engineer.Technician, High.Tech, Other, Student"
12,0.0183875530410184,0,0.981612446958982,0.462517680339463,0.0183875530410184,0.0254596888260255,0.00848656294200849,0.0565770862800566,0,0.166902404526167,0.00848656294200849,0.0495049504950495,0.0141442715700141,0.0339462517680339,0.118811881188119,0.0297029702970297,0.00707213578500707,0,0.0551626591230552,0.108910891089109,0.074964639321075,0.0707213578500707,0.69024045261669,0,0.998585572842999,0.00141442715700141,0,0,0,0,0.0438472418670438,0.0721357850070721,0.193776520509194,0.463932107496464,0.186704384724187,0.0367751060820368,0.00282885431400283,0,0.164073550212164,0.00141442715700141,0.195190947666195,0.127298444130127,0.108910891089109,0.0622347949080622,0.0311173974540311,0.0198019801980198,0.00565770862800566,0.00424328147100424,0.016973125884017,0.263083451202263,0.00424328147100424,0.00707213578500707,0.00141442715700141,0.0509193776520509,0.123055162659123,0.0183875530410184,0.0806223479490806,0.0452616690240453,0.0424328147100424,0.00707213578500707,0.0212164073550212,0,0.0381895332390382,0.134370579915134,0.0155586987270156,0.152758132956153,0.0127298444130127,0.00141442715700141,0.0183875530410184,0.0792079207920792,0.0367751060820368,0.0099009900990099,0.0127298444130127,0,0.0777934936350778,0.00141442715700141,0.00707213578500707,"more.to.women, Agriculture, Religion, East.Asia, 31.to.40, Range_501.1000, Business.Management, Education, High.Tech, Other, Retired, Student"
13,0.00408163265306122,0.0142857142857143,0.981632653061224,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0755102040816327,0.126530612244898,0.0775510204081633,0.073469387755102,0.646938775510204,0.979591836734694,0,0.00612244897959184,0.00816326530612245,0,0.00612244897959184,0,0,0,0,1,0,0,0,0,0.0183673469387755,0,0.0510204081632653,0.036734693877551,0.0714285714285714,0.106122448979592,0.161224489795918,0.23265306122449,0.130612244897959,0.0693877551020408,0.0591836734693878,0.063265306122449,0.00204081632653061,0,0.00204081632653061,0.0571428571428571,0.155102040816327,0.00816326530612245,0.110204081632653,0.0551020408163265,0.0408163265306122,0.00204081632653061,0.0122448979591837,0,0.0326530612244898,0.151020408163265,0.0142857142857143,0.114285714285714,0.00204081632653061,0.00204081632653061,0.0346938775510204,0.0591836734693878,0.0204081632653061,0.0122448979591837,0.0122448979591837,0,0.0877551020408163,0.00408163265306122,0.00816326530612245,"more.to.women, Food, Religion, Africa, 31.to.40, Range_3501.4000, Arts.Creative, Business.Management, Education, High.Tech, Other, Retired, Student"
14,0.204347826086957,0.739130434782609,0.0565217391304348,0.521739130434783,0.0130434782608696,0.0347826086956522,0.0260869565217391,0.0782608695652174,0.00434782608695652,0.0869565217391304,0.00869565217391304,0.0260869565217391,0.0173913043478261,0.0304347826086957,0.0565217391304348,0.0521739130434783,0.0434782608695652,0,0.00434782608695652,0.0260869565217391,0.0260869565217391,0.00869565217391304,0.930434782608696,0.091304347826087,0.139130434782609,0.169565217391304,0.147826086956522,0.256521739130435,0.00434782608695652,0.191304347826087,0.0304347826086957,0.0391304347826087,0.569565217391304,0.21304347826087,0.126086956521739,0.0217391304347826,0,0,0.0434782608695652,0.00869565217391304,0.734782608695652,0.0739130434782609,0.0434782608695652,0.0304347826086957,0.0173913043478261,0.00869565217391304,0.0130434782608696,0.0130434782608696,0.0130434782608696,0,0,0.00434782608695652,0,0.0434782608695652,0.0782608695652174,0.0130434782608696,0.0869565217391304,0.0173913043478261,0.0391304347826087,0.00434782608695652,0.0130434782608696,0,0.0260869565217391,0.173913043478261,0.0347826086956522,0.165217391304348,0.00434782608695652,0.0130434782608696,0.0173913043478261,0.0347826086956522,0.0260869565217391,0.0304347826086957,0.0173913043478261,0.00434782608695652,0.152173913043478,0,0,"Agriculture, Religion, 21.to.30, Range_1001.1500, Business.Management, Education, High.Tech, Other, Student"
15,0.176470588235294,0.823529411764706,0,0.491349480968858,0.0346020761245675,0.013840830449827,0.0346020761245675,0.0622837370242214,0.00346020761245675,0.131487889273356,0.0103806228373702,0.0380622837370242,0.013840830449827,0.013840830449827,0.055363321799308,0.069204152249135,0.027681660899654,0,0.145328719723183,0.377162629757785,0.235294117647059,0.242214532871972,0,0.217993079584775,0.134948096885813,0.0484429065743945,0.069204152249135,0.307958477508651,0,0.221453287197232,0.0657439446366782,0.121107266435986,0.200692041522491,0.411764705882353,0.145328719723183,0.0380622837370242,0.0103806228373702,0.0069204152249135,0.0968858131487889,0.0519031141868512,0.100346020761246,0.1280276816609,0.069204152249135,0.0449826989619377,0.0173010380622837,0.0103806228373702,0.00346020761245675,0.0242214532871972,0.041522491349481,0.411764705882353,0.0103806228373702,0.013840830449827,0.0103806228373702,0.069204152249135,0.0761245674740484,0.013840830449827,0.0795847750865052,0.0346020761245675,0.0519031141868512,0.013840830449827,0.00346020761245675,0,0.041522491349481,0.173010380622837,0.0173010380622837,0.15916955017301,0.0103806228373702,0,0.0346020761245675,0.0449826989619377,0.0588235294117647,0.00346020761245675,0.0069204152249135,0,0.0622837370242214,0.00346020761245675,0.0069204152249135,"Agriculture, Range_501.1000, Arts.Creative, Business.Management, Education, High.Tech, Other, Sales.Marketing, Student"
